"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"309","RALEIGH",1.422946e-01, -4,"WEST VIRGINIA", -81.17427,  37.75678
"310","JUNEAU",1.820008e-01,  1,"WISCONSIN", -88.70876,  43.40813
"311","CEDAR",1.443462e-01,  3,"IOWA", -92.52575,  41.21223
"312","DUBUQUE",1.119561e-01,  3,"IOWA", -90.66775,  42.50636
"313","IOWA",1.287750e-01,  3,"IOWA", -93.09770,  41.87800
"314","CEDAR",1.617831e-01,  3,"MISSOURI", -93.86553,  37.70312
"315","CEDAR",1.509359e-01,  3,"NEBRASKA", -97.17903,  42.56103
"316","IOWA",9.492330e-02,  3,"WISCONSIN", -88.78787,  43.78444
"317","INDIANA",1.472595e-01,  2,"PENNSYLVANIA", -79.15253,  40.62146
"318","PLATTE",3.120635e-02, 19,"MISSOURI", -94.76916,  39.34756
"319","PLATTE",9.385113e-02, 19,"NEBRASKA", -98.28242,  41.05697
"320","PLATTE",1.461171e-01, 19,"WYOMING",-104.84546,  42.05056
"321","SARASOTA",5.924176e-02,  0,"FLORIDA", -82.53101,  27.33647
"322","PETERSBURG",4.624841e-03,  0,"VIRGINIA", -77.40193,  37.22793
"323","GREENWOOD",9.418982e-02, 11,"KANSAS", -96.15270,  37.90259
"324","GREEN",8.145391e-02, 11,"KENTUCKY", -83.07517,  38.14064
"325","WOOD",7.956398e-02, 11,"OHIO", -83.67739,  41.34785
"326","GREENVILLE",1.041182e-02, 11,"SOUTH CAROLINA", -82.40002,  34.84850
"327","GREENWOOD",3.374591e-02, 11,"SOUTH CAROLINA", -82.16179,  34.19540
"328","WOOD",8.348337e-02, 11,"TEXAS", -95.35209,  32.82962
"329","WOOD",1.062076e-01, 11,"WEST VIRGINIA", -81.47184,  39.21543
"330","GREEN",1.188284e-01, 11,"WISCONSIN", -89.62516,  42.62873
"331","WOOD",1.687090e-01, 11,"WISCONSIN", -90.16823,  44.45581
"332","JACKSON",1.310446e-01, -2,"ALABAMA", -87.89444,  31.50905
"333","JACKSON",8.806834e-02, -2,"ARKANSAS", -91.13530,  35.64796
"334","JACKSON",9.368618e-02, -2,"COLORADO",-106.25221,  40.68192
"335","JACKSON",4.893697e-02, -2,"FLORIDA", -81.65915,  30.32976
"336","JACKSON",4.688927e-02, -2,"GEORGIA", -83.96602,  33.29457
"337","JACKSON",9.391416e-02, -2,"ILLINOIS", -89.32270,  37.72183
"338","JACKSON",2.004699e-01, -2,"INDIANA", -86.05296,  38.87943
"339","JACKSON",2.270817e-01, -2,"IOWA", -90.52578,  42.15607
