"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"274","BOISE",3.155378e-02,NA,"IDAHO",-116.20231,  43.61502
"275","HARRIS",2.425683e-01,NA,"GEORGIA", -84.85679,  32.70327
"276","HARRISON",1.445060e-03,NA,"INDIANA", -87.42222,  39.52861
"277","HARRISON",1.203594e-01,NA,"IOWA", -95.81429,  41.69339
"278","HARRISON",2.754967e-03,NA,"KENTUCKY", -83.17410,  38.60588
"279","HARRISON",2.785560e-02,NA,"MISSISSIPPI", -89.01793,  30.43209
"280","HARRISON",4.880457e-03,NA,"MISSOURI", -94.34884,  38.65334
"281","HARRISON",1.488499e-02,NA,"OHIO", -84.79160,  39.25370
"282","HARRIS",2.614196e-03,NA,"TEXAS", -95.31025,  29.77518
"283","HARRISON",6.882711e-03,NA,"TEXAS", -94.31542,  32.55392
"284","HARRISONBURG",NA,NA,"VIRGINIA", -78.86978,  38.44600
"285","HARRISON",1.726013e-02,NA,"WEST VIRGINIA", -80.36586,  39.33481
"286","HART",1.778879e-01,NA,"GEORGIA", -82.95016,  34.35000
"287","ELKHART",2.597947e-02,NA,"INDIANA", -85.97352,  41.68738
"288","ELK",1.361708e-02,NA,"KANSAS", -96.15270,  37.39364
"289","HART",1.420141e-02,NA,"KENTUCKY", -85.84862,  37.31013
"290","ELK",6.237674e-03,NA,"PENNSYLVANIA", -78.56609,  41.42849
"291","RICHMOND",1.078357e-01,NA,"GEORGIA", -82.08429,  33.32053
"292","RICHMOND",2.315930e-03,NA,"NEW YORK", -77.53901,  42.82148
"293","RICHMOND",1.675591e-01,NA,"NORTH CAROLINA", -79.78484,  35.00305
"294","RICH",NA,NA,"UTAH",-111.18912,  41.56297
"295","PETERSBURG",NA,NA,"VIRGINIA", -77.40193,  37.22793
"296","RICHMOND",8.524223e-02,NA,"VIRGINIA", -77.43605,  37.54072
"297","MILWAUKEE",6.008961e-03,NA,"WISCONSIN", -87.90968,  43.04103
"298","ALBANY",2.599227e-02,NA,"NEW YORK", -73.75447,  42.65181
"299","SCHENECTADY",4.184574e-02,NA,"NEW YORK", -73.93874,  42.81435
"300","ALBANY",3.908058e-02,NA,"WYOMING",-106.13196,  41.18414
"301","FAYETTE",8.252588e-03,NA,"ALABAMA", -87.83085,  33.68455
"302","FAYETTE",2.025416e-01,NA,"GEORGIA", -84.45504,  33.44863
"303","FAYETTE",1.311189e-02,NA,"ILLINOIS", -89.01793,  39.06696
"304","FAYETTE",2.383842e-02,NA,"INDIANA", -85.14794,  39.59204
"305","FAYETTE",1.258059e-01,NA,"IOWA", -91.80211,  42.84193
"306","FAYETTE",5.529774e-02,NA,"KENTUCKY", -84.48026,  38.06065
"307","DURHAM",7.388608e-02,NA,"NORTH CAROLINA", -78.90021,  35.99557
"308","FAYETTE",1.617627e-02,NA,"OHIO", -84.32689,  41.67338
"309","FAYETTE",1.009331e-02,NA,"PENNSYLVANIA", -79.65021,  39.92723
"310","FAYETTE",9.896861e-04,NA,"TENNESSEE", -89.47422,  35.12574
"311","FAYETTE",1.044007e-02,NA,"TEXAS", -96.83510,  29.88964
"312","FAYETTE",1.131924e-02,NA,"WEST VIRGINIA", -81.10399,  38.05289
"313","RALEIGH",1.829265e-02,NA,"WEST VIRGINIA", -81.17427,  37.75678
"314","WICHITA",1.679478e-03,NA,"KANSAS", -97.33822,  37.69345
"315","HUTCHINSON",1.003098e-02,NA,"SOUTH DAKOTA", -97.69823,  43.30172
"316","HUTCHINSON",3.456278e-03,NA,"TEXAS", -96.71305,  32.64930
"317","WICHITA",5.005199e-02,NA,"TEXAS", -98.74812,  33.93097
"318","JUNEAU",1.210483e-02,NA,"WISCONSIN", -88.70876,  43.40813
"319","EUREKA",1.209632e-02,NA,"NEVADA",-115.96078,  39.51249
"320","PUEBLO",1.153782e-02,NA,"COLORADO",-104.61010,  38.27060
"321","COLORADO",5.590162e-03,NA,"TEXAS", -97.13389,  29.98556
"322","WINSTON",8.690249e-04,NA,"ALABAMA", -87.34136,  34.16901
"323","GREEN",9.931709e-05,NA,"KENTUCKY", -83.07517,  38.14064
"324","WINSTON",1.935850e-03,NA,"MISSISSIPPI", -89.01793,  33.16503
"325","SALEM",1.386736e-02,NA,"NEW JERSEY", -75.46704,  39.57190
"326","SALEM",NA,NA,"VIRGINIA", -80.05476,  37.29347
"327","GREEN",4.182230e-03,NA,"WISCONSIN", -89.62516,  42.62873
"328","NASH",1.846567e-01,NA,"NORTH CAROLINA", -77.97387,  35.95979
"329","MONTGOMERY",2.547836e-02,NA,"ALABAMA", -86.30774,  32.37922
"330","MONTGOMERY",2.645351e-01,NA,"ARKANSAS", -93.66232,  34.54241
"331","MONTGOMERY",2.246352e-01,NA,"GEORGIA", -81.12205,  31.94049
"332","MONTGOMERY",1.580818e-03,NA,"ILLINOIS", -88.34590,  41.73058
"333","MONTGOMERY",1.657141e-02,NA,"INDIANA", -87.04612,  38.66255
"334","MONTGOMERY",1.229500e-01,NA,"IOWA", -95.20255,  43.44127
"335","MONTGOMERY",1.227452e-02,NA,"KANSAS", -95.81429,  37.24025
"336","MONTGOMERY",8.443231e-04,NA,"KENTUCKY", -83.88971,  38.03146
"337","MONTGOMERY",5.576426e-02,NA,"MARYLAND", -77.24052,  39.15474
"338","MONTGOMERY",7.744789e-03,NA,"MISSISSIPPI", -89.62516,  33.52744
"339","MONTGOMERY",3.668950e-04,NA,"MISSOURI", -91.48215,  38.93656
"340","MONTGOMERY",1.643509e-02,NA,"NEW YORK", -74.23682,  41.52759
"341","MONTGOMERY",1.742167e-01,NA,"NORTH CAROLINA", -79.87448,  35.35879
"342","MONTGOMERY",1.526495e-02,NA,"OHIO", -84.35411,  39.22811
"343","MONTGOMERY",2.128427e-02,NA,"PENNSYLVANIA", -76.87691,  41.17036
"344","MONTGOMERY",3.340162e-02,NA,"TENNESSEE", -87.46040,  36.49604
"345","MONTGOMERY",4.410151e-02,NA,"TEXAS", -95.69634,  30.38826
"346","MONTGOMERY",1.540806e-01,NA,"VIRGINIA", -80.41040,  37.20703
"347","KANSAS CITY",4.554858e-03,NA,"MISSOURI", -94.57857,  39.09973
"348","DES MOINES",9.769203e-02,NA,"IOWA", -93.61640,  41.58961
"349","OKLAHOMA",2.086047e-01,NA,"OKLAHOMA", -97.51954,  35.46887
"350","JACKSON",2.160131e-02,NA,"ALABAMA", -87.89444,  31.50905
"351","JACKSON",2.254755e-01,NA,"ARKANSAS", -91.13530,  35.64796
"352","JACKSON",9.310748e-03,NA,"COLORADO",-106.25221,  40.68192
"353","JACKSON",5.686858e-03,NA,"FLORIDA", -81.65915,  30.32976
"354","JACKSON",2.179814e-01,NA,"GEORGIA", -83.96602,  33.29457
"355","JACKSON",1.100340e-02,NA,"ILLINOIS", -89.32270,  37.72183
"356","JACKSON",1.954113e-03,NA,"INDIANA", -86.05296,  38.87943
"357","JACKSON",1.030798e-01,NA,"IOWA", -90.52578,  42.15607
"358","JACKSON",1.661783e-02,NA,"KANSAS", -95.81429,  39.42414
"359","JACKSON",1.012674e-02,NA,"KENTUCKY", -83.38351,  37.55315
"360","JACKSON",8.362304e-03,NA,"LOUISIANA", -91.21761,  30.83740
"361","JACKSON",9.838838e-03,NA,"MICHIGAN", -84.40135,  42.24587
"362","JACKSON",1.402511e-02,NA,"MINNESOTA", -94.98675,  43.62086
"363","JACKSON",2.019211e-02,NA,"MISSISSIPPI", -90.18065,  32.29814
"364","JACKSON",4.171592e-02,NA,"MISSOURI", -89.66621,  37.38227
"365","JACKSON",2.834407e-01,NA,"NORTH CAROLINA", -77.42136,  36.38960
"366","JACKSON",1.838710e-02,NA,"OHIO", -82.63655,  39.05202
"367","JACKSON",2.081889e-01,NA,"OKLAHOMA", -99.45615,  34.58346
"368","JACKSON",3.012214e-02,NA,"OREGON",-122.96699,  42.31346
"369","JACKSON",1.816524e-02,NA,"SOUTH DAKOTA",-101.52481,  43.66481
"370","JACKSON",4.258133e-02,NA,"TENNESSEE", -88.81395,  35.61452
"371","JACK",7.237626e-03,NA,"TEXAS", -98.22130,  33.25604
"372","JACKSON",9.944332e-03,NA,"TEXAS", -96.53564,  28.93409
"373","JACKSON",1.318979e-02,NA,"WEST VIRGINIA", -81.64734,  38.81399
"374","JACKSON",1.417740e-02,NA,"WISCONSIN", -88.16676,  43.32389
"375","GRAND",6.332127e-02,NA,"COLORADO",-106.06402,  40.07274
"376","KALAMAZOO",2.741723e-02,NA,"MICHIGAN", -85.58563,  42.28965
"377","CREEK",3.258207e-01,NA,"OKLAHOMA", -96.32261,  35.83625
"378","GRAND",NA,NA,"UTAH",-109.75917,  39.08579
"379","LUBBOCK",3.746791e-02,NA,"TEXAS",-101.85529,  33.57782
"380","ARTHUR",9.598996e-03,NA,"NEBRASKA",-101.69156,  41.57165
"381","BURLINGTON",2.244087e-02,NA,"NEW JERSEY", -74.86618,  40.07053
"382","KEOKUK",1.236795e-01,NA,"IOWA", -91.39640,  40.40447
"383","PITT",2.127969e-01,NA,"NORTH CAROLINA", -77.42430,  35.55892
"384","PITTSBURG",2.775728e-01,NA,"OKLAHOMA", -95.84999,  34.71315
"385","FAYETTE",8.252588e-03,NA,"ALABAMA", -87.83085,  33.68455
"386","LAFAYETTE",1.067742e-01,NA,"ARKANSAS", -93.62178,  33.25117
"387","LAFAYETTE",1.550891e-02,NA,"FLORIDA", -83.20776,  30.02996
"388","FAYETTE",2.025416e-01,NA,"GEORGIA", -84.45504,  33.44863
"389","FAYETTE",1.311189e-02,NA,"ILLINOIS", -89.01793,  39.06696
"390","FAYETTE",2.383842e-02,NA,"INDIANA", -85.14794,  39.59204
"391","FAYETTE",1.258059e-01,NA,"IOWA", -91.80211,  42.84193
"392","FAYETTE",5.529774e-02,NA,"KENTUCKY", -84.48026,  38.06065
"393","LAFAYETTE",2.941270e-02,NA,"LOUISIANA", -92.01984,  30.22409
