"","Region","query_incidence","daterange","City","DMA"
"1166",NA,72,"20-24","Sunnyvale",NA
"1167",NA,NA,"20-24","Greenbelt",NA
"1168",NA,NA,"20-24","Pinecrest",NA
"1169",NA,NA,"20-24","Groveton",NA
"1170",NA,NA,"20-24","Davis",NA
"1171",NA,NA,"20-24","Richmond",NA
"1172",NA,NA,"20-24","Hayward",NA
"1173",NA,71,"20-24","Pembroke Pines",NA
"1174",NA,NA,"20-24","Combes",NA
"1175",NA,NA,"20-24","Nanuet",NA
"1176",NA,NA,"20-24","Ceres",NA
"1177",NA,NA,"20-24","Rosemead",NA
"1178",NA,NA,"20-24","Monterey Park",NA
"1179",NA,NA,"20-24","Union",NA
"1180",NA,NA,"20-24","Mansfield",NA
"1181",NA,NA,"20-24","Miramar",NA
"1182",NA,NA,"20-24","Laurel",NA
"1183",NA,NA,"20-24","Goulds",NA
"1184",NA,70,"20-24","Fremont",NA
"1185",NA,NA,"20-24","Mount Vernon",NA
"1186",NA,NA,"20-24","Manassas",NA
"1187",NA,NA,"20-24","Stamford",NA
"1188",NA,NA,"20-24","Bridgeport",NA
"1189",NA,NA,"20-24","Pompano Beach",NA
"1190",NA,NA,"20-24","Concord",NA
"1191",NA,NA,"20-24","Berkeley",NA
"1192",NA,NA,"20-24","Merrifield",NA
"1193",NA,NA,"20-24","Garland",NA
"1194",NA,69,"20-24","El Paso",NA
"1195",NA,69,"20-24","Cambridge",NA
"1196",NA,NA,"20-24","Doraville",NA
"1197",NA,NA,"20-24","Daly City",NA
"1198",NA,NA,"20-24","El Monte",NA
"1199",NA,NA,"20-24","University",NA
"1200",NA,NA,"20-24","Woodbridge",NA
"1201",NA,68,"20-24","Santa Ana",NA
"1202",NA,NA,"20-24","Princeton",NA
"1203",NA,NA,"20-24","Madera",NA
"1204",NA,NA,"20-24","Brownsville",NA
"1205",NA,NA,"20-24","Meadow Woods",NA
"1206",NA,NA,"20-24","Orangetree",NA
"1207",NA,NA,"20-24","Mountain House",NA
"1208",NA,NA,"20-24","Piscataway Township",NA
"1209",NA,NA,"20-24","Worcester",NA
"1210",NA,NA,"20-24","Manassas Park",NA
"1211",NA,NA,"20-24","Clarksburg",NA
"1212",NA,NA,"20-24","Coral Springs",NA
"1213",NA,67,"20-24","Irvine",NA
"1214",NA,NA,"20-24","Compton",NA
"1215",NA,67,"20-24","Arlington",NA
"1216",NA,NA,"20-24","SeaTac",NA
"1217",NA,NA,"20-24","Lowell",NA
"1218",NA,NA,"20-24","Glenn Dale",NA
"1219",NA,NA,"20-24","Davie",NA
"1220",NA,NA,"20-24","Valley Stream",NA
"1221",NA,NA,"20-24","Sterling",NA
"1222",NA,NA,"20-24","New Haven",NA
"1223",NA,NA,"20-24","Linden",NA
"1224",NA,NA,"20-24","Glendale",NA
"1225",NA,NA,"20-24","Manor",NA
"1226",NA,NA,"20-24","Annandale",NA
"1227",NA,NA,"20-24","San Bruno",NA
"1228",NA,NA,"20-24","Kendall",NA
"1229",NA,NA,"20-24","Brockton",NA
"1230",NA,NA,"20-24","Bellevue",NA
"1231",NA,NA,"20-24","Riviera Beach",NA
"1232",NA,NA,"20-24","East Los Angeles",NA
"1233",NA,NA,"20-24","White Plains",NA
"1234",NA,NA,"20-24","Freeport",NA
"1235",NA,65,"20-24","Boston",NA
"1236",NA,NA,"20-24","Stanton",NA
"1237",NA,NA,"20-24","Tysons",NA
"1238",NA,65,"20-24","Houston",NA
"1239",NA,NA,"20-24","Fort Pierce",NA
"1240",NA,NA,"20-24","Allen",NA
"1241",NA,NA,"20-24","Hudson",NA
"1242",NA,NA,"20-24","Edinburg",NA
"1243",NA,65,"20-24","Cypress",NA
"1244",NA,NA,"20-24","West Windsor Township",NA
"1245",NA,NA,"20-24","Oxnard",NA
"1246",NA,NA,"20-24","Pittsburg",NA
"1247",NA,64,"20-24","West Palm Beach",NA
"1248",NA,NA,"20-24","Chamblee",NA
"1249",NA,NA,"20-24","Heber",NA
"1250",NA,NA,"20-24","Chantilly",NA
"1251",NA,NA,"20-24","Fort Lee",NA
"1252",NA,NA,"20-24","Barnstable",NA
"1253",NA,64,"20-24","Oakland",NA
"1254",NA,NA,"20-24","Wellington",NA
"1255",NA,NA,"20-24","Lake Ridge",NA
"1256",NA,NA,"20-24","McLean",NA
"1257",NA,NA,"20-24","West Orange",NA
"1258",NA,NA,"20-24","Amherst",NA
"1259",NA,NA,"20-24","Skokie",NA
"1260",NA,NA,"20-24","Franklin Township",NA
"1261",NA,NA,"20-24","North Bergen",NA
"1262",NA,NA,"20-24","Yakima",NA
"1263",NA,NA,"20-24","Diamond Bar",NA
"1264",NA,NA,"20-24","Federal Way",NA
"1265",NA,NA,"20-24","East Haven",NA
