"","Region","query_incidence","daterange","City","DMA"
"287","Wyoming",47,"08-12",NA,NA
"288","South Carolina",47,"08-12",NA,NA
"289","Oklahoma",47,"08-12",NA,NA
"290","Missouri",46,"08-12",NA,NA
"291","Tennessee",45,"08-12",NA,NA
"292","Vermont",45,"08-12",NA,NA
"293","Ohio",45,"08-12",NA,NA
"294","Maine",44,"08-12",NA,NA
"295","Kentucky",42,"08-12",NA,NA
"296","Mississippi",42,"08-12",NA,NA
"297","South Dakota",38,"08-12",NA,NA
"298","Alaska",38,"08-12",NA,NA
"299","North Dakota",37,"08-12",NA,NA
"300","West Virginia",36,"08-12",NA,NA
"301","Louisiana",36,"08-12",NA,NA
"302","Montana",32,"08-12",NA,NA
"303",NA,100,"08-12",NA,"Harlingen-Weslaco-Brownsville-McAllen TX"
"304",NA,92,"08-12",NA,"El Paso TX"
"305",NA,85,"08-12",NA,"Laredo TX"
"306",NA,84,"08-12",NA,"Miami-Ft. Lauderdale FL"
"307",NA,73,"08-12",NA,"New York NY"
"308",NA,72,"08-12",NA,"West Palm Beach-Ft. Pierce FL"
"309",NA,68,"08-12",NA,"San Diego CA"
"310",NA,68,"08-12",NA,"Yuma AZ-El Centro CA"
"311",NA,68,"08-12",NA,"Monterey-Salinas CA"
"312",NA,68,"08-12",NA,"Phoenix AZ"
"313",NA,67,"08-12",NA,"Los Angeles CA"
"314",NA,66,"08-12",NA,"Tucson (Sierra Vista) AZ"
"315",NA,63,"08-12",NA,"Las Vegas NV"
"316",NA,63,"08-12",NA,"Bakersfield CA"
"317",NA,63,"08-12",NA,"Washington DC (Hagerstown MD)"
"318",NA,62,"08-12",NA,"Houston TX"
"319",NA,61,"08-12",NA,"Ft. Myers-Naples FL"
"320",NA,61,"08-12",NA,"Yakima-Pasco-Richland-Kennewick WA"
"321",NA,60,"08-12",NA,"Hartford & New Haven CT"
"322",NA,59,"08-12",NA,"Reno NV"
"323",NA,59,"08-12",NA,"Salt Lake City UT"
"324",NA,59,"08-12",NA,"Palm Springs CA"
"325",NA,59,"08-12",NA,"Sacramento-Stockton-Modesto CA"
"326",NA,59,"08-12",NA,"Boston MA-Manchester NH"
"327",NA,56,"08-12",NA,"Baltimore MD"
"328",NA,55,"08-12",NA,"Fresno-Visalia CA"
"329",NA,55,"08-12",NA,"Tallahassee FL-Thomasville GA"
"330",NA,55,"08-12",NA,"Orlando-Daytona Beach-Melbourne FL"
"331",NA,54,"08-12",NA,"Idaho Falls-Pocatello ID"
"332",NA,54,"08-12",NA,"Santa Barbara-Santa Maria-San Luis Obispo CA"
"333",NA,54,"08-12",NA,"San Antonio TX"
"334",NA,54,"08-12",NA,"Honolulu HI"
"335",NA,53,"08-12",NA,"Chicago IL"
"336",NA,53,"08-12",NA,"Providence RI-New Bedford MA"
"337",NA,53,"08-12",NA,"Springfield-Holyoke MA"
"338",NA,53,"08-12",NA,"Waco-Temple-Bryan TX"
"339",NA,53,"08-12",NA,"Twin Falls ID"
"340",NA,53,"08-12",NA,"Philadelphia PA"
"341",NA,53,"08-12",NA,"Seattle-Tacoma WA"
"342",NA,53,"08-12",NA,"Champaign & Springfield-Decatur IL"
"343",NA,53,"08-12",NA,"Albuquerque-Santa Fe NM"
"344",NA,52,"08-12",NA,"Denver CO"
"345",NA,52,"08-12",NA,"Sioux City IA"
"346",NA,52,"08-12",NA,"Austin TX"
"347",NA,52,"08-12",NA,"Dallas-Ft. Worth TX"
"348",NA,51,"08-12",NA,"Portland OR"
"349",NA,51,"08-12",NA,"Huntsville-Decatur (Florence) AL"
"350",NA,51,"08-12",NA,"San Francisco-Oakland-San Jose CA"
"351",NA,51,"08-12",NA,"Lincoln & Hastings-Kearney NE"
"352",NA,51,"08-12",NA,"Indianapolis IN"
"353",NA,50,"08-12",NA,"Atlanta GA"
"354",NA,50,"08-12",NA,"Odessa-Midland TX"
"355",NA,50,"08-12",NA,"North Platte NE"
"356",NA,50,"08-12",NA,"Corpus Christi TX"
"357",NA,50,"08-12",NA,"Birmingham AL"
"358",NA,50,"08-12",NA,"Tampa-St. Petersburg (Sarasota) FL"
"359",NA,49,"08-12",NA,"Lima OH"
"360",NA,49,"08-12",NA,"Victoria TX"
"361",NA,49,"08-12",NA,"Ft. Smith-Fayetteville-Springdale-Rogers AR"
"362",NA,49,"08-12",NA,"Grand Junction-Montrose CO"
"363",NA,49,"08-12",NA,"Cheyenne WY-Scottsbluff NE"
"364",NA,49,"08-12",NA,"Amarillo TX"
"365",NA,49,"08-12",NA,"Cedar Rapids-Waterloo-Iowa City & Dubuque IA"
"366",NA,48,"08-12",NA,"Albany GA"
"367",NA,48,"08-12",NA,"Salisbury MD"
"368",NA,48,"08-12",NA,"Madison WI"
"369",NA,48,"08-12",NA,"Spokane WA"
"370",NA,48,"08-12",NA,"Minneapolis-St. Paul MN"
"371",NA,48,"08-12",NA,"Syracuse NY"
"372",NA,47,"08-12",NA,"Buffalo NY"
"373",NA,47,"08-12",NA,"Boise ID"
"374",NA,47,"08-12",NA,"Harrisonburg VA"
"375",NA,47,"08-12",NA,"South Bend-Elkhart IN"
"376",NA,47,"08-12",NA,"Richmond-Petersburg VA"
"377",NA,46,"08-12",NA,"Milwaukee WI"
"378",NA,46,"08-12",NA,"Albany-Schenectady-Troy NY"
"379",NA,46,"08-12",NA,"Raleigh-Durham (Fayetteville) NC"
"380",NA,46,"08-12",NA,"Omaha NE"
"381",NA,46,"08-12",NA,"Wichita-Hutchinson KS"
"382",NA,46,"08-12",NA,"Juneau AK"
"383",NA,46,"08-12",NA,"Eureka CA"
"384",NA,46,"08-12",NA,"Mankato MN"
"385",NA,46,"08-12",NA,"Colorado Springs-Pueblo CO"
"386",NA,46,"08-12",NA,"Greensboro-High Point-Winston Salem NC"
"387",NA,45,"08-12",NA,"Nashville TN"
"388",NA,45,"08-12",NA,"Montgomery (Selma) AL"
"389",NA,44,"08-12",NA,"Kansas City MO"
"390",NA,44,"08-12",NA,"San Angelo TX"
"391",NA,44,"08-12",NA,"Savannah GA"
"392",NA,44,"08-12",NA,"Des Moines-Ames IA"
"393",NA,44,"08-12",NA,"Oklahoma City OK"
"394",NA,44,"08-12",NA,"Jacksonville FL"
"395",NA,44,"08-12",NA,"Grand Rapids-Kalamazoo-Battle Creek MI"
"396",NA,43,"08-12",NA,"Eugene OR"
"397",NA,43,"08-12",NA,"Topeka KS"
"398",NA,43,"08-12",NA,"Lubbock TX"
"399",NA,43,"08-12",NA,"Beaumont-Port Arthur TX"
"400",NA,43,"08-12",NA,"Burlington VT-Plattsburgh NY"
"401",NA,43,"08-12",NA,"Quincy IL-Hannibal MO-Keokuk IA"
"402",NA,43,"08-12",NA,"Joplin MO-Pittsburg KS"
"403",NA,43,"08-12",NA,"Casper-Riverton WY"
"404",NA,42,"08-12",NA,"Lafayette IN"
"405",NA,42,"08-12",NA,"Columbus GA"
"406",NA,42,"08-12",NA,"Sherman TX-Ada OK"
"407",NA,42,"08-12",NA,"Chico-Redding CA"
"408",NA,42,"08-12",NA,"Charlottesville VA"
"409",NA,42,"08-12",NA,"Lansing MI"
"410",NA,42,"08-12",NA,"Jackson MS"
"411",NA,42,"08-12",NA,"Columbus OH"
"412",NA,42,"08-12",NA,"Greenwood-Greenville MS"
"413",NA,42,"08-12",NA,"Detroit MI"
"414",NA,41,"08-12",NA,"Utica NY"
"415",NA,41,"08-12",NA,"Watertown NY"
"416",NA,41,"08-12",NA,"Gainesville FL"
"417",NA,41,"08-12",NA,"Rochester MN-Mason City IA-Austin MN"
"418",NA,41,"08-12",NA,"La Crosse-Eau Claire WI"
"419",NA,41,"08-12",NA,"Binghamton NY"
"420",NA,41,"08-12",NA,"Lexington KY"
"421",NA,41,"08-12",NA,"Medford-Klamath Falls OR"
"422",NA,41,"08-12",NA,"Ottumwa IA-Kirksville MO"
"423",NA,40,"08-12",NA,"Peoria-Bloomington IL"
"424",NA,40,"08-12",NA,"Columbia-Jefferson City MO"
"425",NA,40,"08-12",NA,"Mobile AL-Pensacola (Ft. Walton Beach) FL"
"426",NA,40,"08-12",NA,"Harrisburg-Lancaster-Lebanon-York PA"
"427",NA,40,"08-12",NA,"Greenville-Spartanburg SC-Asheville NC-Anderson SC"
"428",NA,40,"08-12",NA,"St. Joseph MO"
"429",NA,40,"08-12",NA,"Wilkes Barre-Scranton PA"
"430",NA,40,"08-12",NA,"Davenport IA-Rock Island-Moline IL"
"431",NA,40,"08-12",NA,"St. Louis MO"
"432",NA,40,"08-12",NA,"Bangor ME"
"433",NA,39,"08-12",NA,"Florence-Myrtle Beach SC"
"434",NA,39,"08-12",NA,"Tyler-Longview(Lufkin & Nacogdoches) TX"
"435",NA,39,"08-12",NA,"Rockford IL"
"436",NA,39,"08-12",NA,"Rochester NY"
"437",NA,39,"08-12",NA,"Cincinnati OH"
"438",NA,39,"08-12",NA,"Macon GA"
"439",NA,39,"08-12",NA,"Memphis TN"
"440",NA,39,"08-12",NA,"Charlotte NC"
"441",NA,39,"08-12",NA,"Norfolk-Portsmouth-Newport News VA"
"442",NA,39,"08-12",NA,"Green Bay-Appleton WI"
"443",NA,38,"08-12",NA,"Columbia SC"
"444",NA,38,"08-12",NA,"Clarksburg-Weston WV"
"445",NA,38,"08-12",NA,"Portland-Auburn ME"
"446",NA,38,"08-12",NA,"Wichita Falls TX & Lawton OK"
"447",NA,37,"08-12",NA,"Cleveland-Akron (Canton) OH"
"448",NA,37,"08-12",NA,"Duluth MN-Superior WI"
"449",NA,37,"08-12",NA,"Dayton OH"
"450",NA,37,"08-12",NA,"Ft. Wayne IN"
"451",NA,37,"08-12",NA,"Monroe LA-El Dorado AR"
"452",NA,37,"08-12",NA,"Minot-Bismarck-Dickinson(Williston) ND"
"453",NA,37,"08-12",NA,"Little Rock-Pine Bluff AR"
"454",NA,37,"08-12",NA,"Fairbanks AK"
"455",NA,36,"08-12",NA,"Louisville KY"
"456",NA,36,"08-12",NA,"Charleston SC"
"457",NA,36,"08-12",NA,"Wausau-Rhinelander WI"
"458",NA,36,"08-12",NA,"Helena MT"
"459",NA,36,"08-12",NA,"Tulsa OK"
"460",NA,36,"08-12",NA,"Great Falls MT"
"461",NA,36,"08-12",NA,"Dothan AL"
"462",NA,36,"08-12",NA,"Pittsburgh PA"
"463",NA,35,"08-12",NA,"Wilmington NC"
"464",NA,35,"08-12",NA,"Rapid City SD"
"465",NA,35,"08-12",NA,"Erie PA"
"466",NA,35,"08-12",NA,"Anchorage AK"
"467",NA,35,"08-12",NA,"Abilene-Sweetwater TX"
"468",NA,35,"08-12",NA,"Jackson TN"
"469",NA,35,"08-12",NA,"Zanesville OH"
"470",NA,34,"08-12",NA,"Sioux Falls(Mitchell) SD"
"471",NA,34,"08-12",NA,"New Orleans LA"
